fecha,Tasa_BADLAR_promedio_mensual_TNA,Tasa_Adelantos_Promedio_mensual_TNA
2016-01-01,0.2394,0.3451
2016-02-01,0.2375,0.3358
2016-03-01,0.2776,0.3961
2016-04-01,0.2835,0.4109
2016-05-01,0.2931,0.4031
2016-06-01,0.2764,0.3862
2016-07-01,0.2537,0.3590
2016-08-01,0.2408,0.3515
2016-09-01,0.2234,0.3363
2016-10-01,0.2141,0.3248
2016-11-01,0.2036,0.3207
2016-12-01,0.1954,0.3099
2017-01-01,0.1911,0.3026
2017-02-01,0.1918,0.2970
2017-03-01,0.1900,0.2978
2024-01-01,1.0682,1.1807
2024-02-01,1.0651,1.1496
2024-03-01,0.8520,1.0563
2024-04-01,0.6354,0.8868
2024-05-01,0.3579,0.6082
2024-06-01,0.3285,0.5301
2024-07-01,0.3617,0.5090
2024-08-01,0.3850,0.5192
2024-09-01,0.3920,0.5321
2024-10-01,0.4012,0.5532
2024-11-01,0.3629,0.5267
2024-12-01,0.3288,0.4849
2025-01-01,0.3150,0.4610
2025-02-01,0.2848,0.4379
2025-03-01,0.2951,0.4289