fecha,Volumen_Total_ON_en_millones_ARS
2016-01-01,1375.6775
2016-02-01,1913.6369
2016-03-01,1571.9639
2016-04-01,1857.6330
2016-05-01,1453.8236
2016-06-01,1882.0126
2016-07-01,2695.5895
2016-08-01,3276.3681
2016-09-01,3405.5142
2016-10-01,3143.3750
2016-11-01,4298.1690
2016-12-01,3031.2072
2017-01-01,5378.0028
2017-02-01,4854.0715
2017-03-01,3875.9917
2024-01-01,5695527.9000
2024-02-01,5570591.2000
2024-03-01,6176247.2000
2024-04-01,5588059.7000
2024-05-01,7283058.4000
2024-06-01,7204303.2000
2024-07-01,14024796.5000
2024-08-01,14358914.3000
2024-09-01,10071874.1000
2024-10-01,10350806.0000
2024-11-01,11042137.3000
2024-12-01,12189169.2000
2025-01-01,12441664.2000
2025-02-01,8795375.8000
2025-03-01,9339916.7000