fecha,Saldo_Cta_Cte_PESOS_residentes_miles_ARS,Saldo_Caja_Ahorro_PESOS_residentes_miles_ARS,Saldo_Plazo_Fijo_PESOS_residente_miles_ARS,Saldo_otros_depositos_PESOS_residente_miles_ARS_,Saldo_Cta_Cte_PESOS_NOresidente_miles_ARS,Saldo_Caja_Ahorro_PESOS_NOresidente_miles_ARS,Saldo_Plazo_Fijo_PESOS_NOresidente_miles_ARS,Saldo_otros_depositos_PESOS_NOresidente_miles_ARS
2016-01-01,198887995.00,228112706.00,455219696.00,30432682.00,196070.00,1020459.00,522555.00,2285.00
2016-02-01,212563912.00,224432494.00,452527533.00,30946639.00,186216.00,1290725.00,524868.00,1329.00
2016-03-01,211836780.00,225297690.00,466341148.00,29517045.00,132495.00,1373984.00,506913.00,1346.00
2016-04-01,202391842.00,228196167.00,467498947.00,29579211.00,156693.00,1738591.00,498053.00,1366.00
2016-05-01,211395681.00,225926312.00,469134263.00,32418813.00,125794.00,1295836.00,515106.00,2363.00
2016-06-01,218436283.00,266570532.00,486399403.00,33150849.00,105549.00,1862716.00,520338.00,1290.00
2016-07-01,211948801.00,267195235.00,498476283.00,32322033.00,101209.00,1650148.00,532775.00,1396.00
2016-08-01,224662025.00,254681351.00,506259816.00,33384296.00,103247.00,1550505.00,548090.00,1315.00
2016-09-01,229271450.00,270039054.00,510757580.00,35191656.00,114258.00,2906053.00,552448.00,1439.00
2016-10-01,241980263.00,277472425.00,504488030.00,42373660.00,134457.00,2310591.00,562653.00,1330.00
2016-11-01,246209110.00,293694653.00,505929553.00,39303879.00,141270.00,2211576.00,563621.00,4525.00
2016-12-01,287895388.00,330731750.00,493669708.00,36119379.00,136572.00,2618136.00,563426.00,3506.00
2017-01-01,264024861.00,315511011.00,522218689.00,39584554.00,112711.00,3220268.00,553387.00,1635.00
2017-02-01,252961326.00,331650620.00,543128887.00,39287596.00,129866.00,3148043.00,492434.00,1348.00
2017-03-01,263850569.00,321981981.00,548304600.00,38069280.00,139951.00,3757260.00,492743.00,2662.00
2024-01-01,11165527940.00,14384214440.00,14752822840.00,478722526.00,16613641.00,90948042.00,191458434.00,1480.00
2024-02-01,10646635224.00,13950286012.00,17024645710.00,503154383.00,19254376.00,95030928.00,203747563.00,1479.00
2024-03-01,10212806588.00,14395250977.00,20362945460.00,539992872.00,12770757.00,65712882.00,266848260.00,1477.00
2024-04-01,10770227503.00,14583968331.00,22916154260.00,598049027.00,16606847.00,67931776.00,260392275.00,1475.00
2024-05-01,11998642667.00,16442544807.00,23560628713.00,635275496.00,32626553.00,66223425.00,73197221.00,1473.00
2024-06-01,12666649585.00,20109959132.00,23504297746.00,774276386.00,29493721.00,66224903.00,110352500.00,4289.00
2024-07-01,12719733986.00,20105380004.00,25783667567.00,759582579.00,31464625.00,60373862.00,132099820.00,1465.00
2024-08-01,12926125922.00,20654331852.00,27951109161.00,786879601.00,18523743.00,57397890.00,145426865.00,1462.00
2024-09-01,13863672985.00,20384944857.00,29947116739.00,925273471.00,14517922.00,61249951.00,156591978.00,1462.00
2024-10-01,15188556184.00,20156552739.00,33105428612.00,933608738.00,19374546.00,62004901.00,162562720.00,1462.00
2024-11-01,15333750071.00,20663209400.00,35875157893.00,961436631.00,14873611.00,64195352.00,163287514.00,1522.00
2024-12-01,17040854454.00,23552670763.00,36806846263.00,1125356266.00,12414299.00,63697360.00,166313682.00,1553.00
2025-01-01,16419506652.00,23347123966.00,38927672549.00,1098357944.00,13850266.00,69249620.00,177929100.00,2014.00
2025-02-01,15661154808.00,23274359065.00,42549995126.00,991204327.00,13634416.00,54462385.00,179927328.00,1553.00
2025-03-01,18137045734.00,23963868842.00,42307669670.00,1219280718.00,11311329.00,55411662.00,181987817.00,1521.00